,alff,anatomical_brain,anatomical_reorient,anatomical_to_mni_nonlinear_xfm,ants_affine_xfm,dr,falff,functional_brain_mask,functional_brain_mask_to_standard,functional_freq_filtered,functional_mni,functional_nuisance_residuals,functional_to_anat_linear_xfm,mean_functional,mni_normalized_anatomical,preprocessed,reho
0051319,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051320,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051321,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051362,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051363,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051364,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051365,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051366,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051367,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051368,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051369,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051370,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051371,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051372,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051373,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051318,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051606,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051607,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051322,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051323,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051324,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051325,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051326,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051327,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051328,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051332,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051333,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051334,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051335,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051336,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051338,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051339,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051340,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051341,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051342,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051343,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051344,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051345,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051346,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051347,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051348,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051329,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051330,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051331,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051349,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051350,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051351,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051352,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051353,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051354,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051355,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051356,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051357,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051358,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051359,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051360,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051361,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050952,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050953,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050954,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050955,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050956,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050957,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050958,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050959,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050960,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050961,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050962,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050964,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050965,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050966,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050967,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050968,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050969,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050970,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050971,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050972,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050973,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050974,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050975,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050976,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050977,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050978,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050979,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050980,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050981,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050982,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050983,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050984,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050985,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050986,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050987,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050988,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050989,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050990,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050991,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050992,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050993,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050994,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050995,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050996,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050997,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050998,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050999,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051000,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051001,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051002,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051003,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051006,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051007,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051008,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051009,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051010,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051011,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051012,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051013,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051014,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051015,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051016,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051017,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051018,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051019,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051020,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051021,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051023,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051024,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051025,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051026,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051027,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051028,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051029,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051030,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051032,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051033,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051034,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051035,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051036,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051038,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051039,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051040,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051041,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051042,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051044,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051045,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051046,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051047,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051048,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051049,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051050,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051051,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051052,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051053,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051054,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051055,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051056,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051057,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051058,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051059,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051060,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051061,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051062,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051063,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051064,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051065,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051066,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051067,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051068,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051069,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051070,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051071,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051072,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051073,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051074,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051075,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051076,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051077,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
